,ph,Hardness,Solids,Chloramines,Sulfate,Conductivity,Organic_carbon,Trihalomethanes,Turbidity,Potability
0,0.5005280225168744,0.5510552973753862,0.4598955274294204,0.5225233984459493,0.6659864148488124,0.8027482543883283,0.28116237315258236,0.7372868575794889,0.26266465163539043,0
1,0.07319159793226769,0.07721441448109695,0.4113397849246388,0.4388784585108681,0.500205871210985,0.86430526027497,0.5483256696567627,0.380636045193016,0.6250793147341331,0
2,0.6297052503255145,0.6725225324732618,0.4400851729232834,0.7710397824410945,0.500205871210985,0.48889100469126806,0.6423083123408289,0.498012000979631,0.2845384939834728,0
3,0.6573391438942536,0.6105961848314582,0.4874640041050189,0.6180118745505168,0.6103397353940557,0.3696839074310957,0.7295712158528052,0.892578613713493,0.6552775951181645,0
4,0.7557987337355838,0.4016907355975215,0.3967125560823011,0.427727840422782,0.3866564991921987,0.4453881467244802,0.3467531826300236,0.09762349982352192,0.5247640990072964,0
5,0.31037176954145373,0.4469718298825532,0.6386689039417267,0.5532983754195524,0.46580679803108593,0.19132765787470452,0.17096009874112145,0.36422118267760434,0.16757136457333358,0
6,0.8994825238923276,0.8221792416806242,0.6386920174678967,0.5493410349455938,0.7863052209905776,0.19818569562687086,0.47094565174839215,0.7095171040143738,0.1942731269974331,0
7,0.6978529851674723,0.5414555282909733,0.299952168465897,0.17821526856874345,0.3539967934324877,0.6095235435470607,0.39158644829771044,0.45588439994086255,0.6016890815757326,0
8,0.5005280225168744,0.011699918003192315,0.31373512308091694,0.5859158803483313,0.18814806497892525,0.42592534354531775,0.41063384825181026,0.35271721673240647,0.41160781763120713,0
9,1.0,0.6913286704762085,0.5653345690074348,0.746047712372135,0.8359612285714249,0.8018366991941864,0.701257822685238,0.5626437966023523,0.594414303314929,0
10,0.5359401720283837,0.3038635265416246,0.72188277743185,0.5540319876062192,0.465548382907241,0.50348976744954,0.5709665249077552,0.6413139958117022,0.42746535964643323,0
11,0.6138845072439614,0.6377197455151593,0.41443113422485867,0.6244336342912927,0.500205871210985,0.3714755010383005,0.5119115313761755,0.6150948656100581,0.5098299144943794,0
12,0.5053638800076534,0.24851140307713945,0.4136034042552266,0.05783931472833915,0.2536836316007042,0.33618448560630804,0.5900413746217997,0.6501629802767431,0.376424972392806,0
13,0.5005280225168744,0.20751080447524403,0.6068267055354865,0.4644106636624111,0.33536550304720786,0.40521643048714356,0.7815699826199467,0.6153750081981125,0.6046471623820312,0
14,0.5531562561091676,0.5539091513765793,0.6305656611090823,0.24231058105727524,0.500205871210985,0.5449818469109902,0.43970105364175993,0.5431445029175124,0.6903074251318664,0
